category,quote
happy,A happy mind makes a happy life.
happy,Joy comes from appreciating what you have.
sad,Storms make trees take deeper roots.
motivation,Success usually comes to those who are too busy to be looking for it.
motivation,Dream big and dare to fail.
happy,Stay positive and happy.
happy,Choose happiness every day.
sad,Your pain today will be your strength tomorrow.
motivation,Stay focused and never give up.
motivation,Success usually comes to those who are too busy to be looking for it.
motivation,Great things never come from comfort zones.
motivation,Do something today that your future self will thank you for.
motivation,Work hard in silence let success make the noise.
sad,Your pain today will be your strength tomorrow.
motivation,Success usually comes to those who are too busy to be looking for it.
happy,Happiness depends upon ourselves.
happy,Enjoy the little things in life.
happy,Keep smiling because life is beautiful.
sad,Every day may not be good but there is something good in every day.
happy,Choose happiness every day.
motivation,Work hard in silence let success make the noise.
motivation,Small progress is still progress.
motivation,Do something today that your future self will thank you for.
happy,Keep smiling because life is beautiful.
happy,A happy mind makes a happy life.
sad,Your pain today will be your strength tomorrow.
happy,Joy comes from appreciating what you have.
sad,Tough times never last but tough people do.
happy,A happy mind makes a happy life.
happy,Life is better when you're laughing.
happy,Enjoy the little things in life.
motivation,Stay focused and never give up.
happy,Happiness depends upon ourselves.
sad,Storms make trees take deeper roots.
happy,Smile and let the world wonder why.
motivation,Push yourself because no one else is going to do it for you.
happy,Happiness depends upon ourselves.
sad,This too shall pass.
happy,A happy mind makes a happy life.
motivation,Dream big and dare to fail.
motivation,Success usually comes to those who are too busy to be looking for it.
sad,Even the darkest night will end and the sun will rise.
motivation,Dream big and dare to fail.
sad,You have survived every difficult day so far.
sad,Tough times never last but tough people do.
motivation,Work hard in silence let success make the noise.
motivation,Stay focused and never give up.
happy,Happiness depends upon ourselves.
motivation,Dream big and dare to fail.
motivation,Believe you can and you're halfway there.
sad,Tough times never last but tough people do.
motivation,Do something today that your future self will thank you for.
sad,Tough times never last but tough people do.
sad,This too shall pass.
motivation,Believe you can and you're halfway there.
sad,You have survived every difficult day so far.
happy,A happy mind makes a happy life.
happy,A happy mind makes a happy life.
motivation,Push yourself because no one else is going to do it for you.
motivation,Dream big and dare to fail.
sad,Take a deep breath and start again.
happy,Keep smiling because life is beautiful.
happy,Stay positive and happy.
sad,This too shall pass.
happy,Choose happiness every day.
motivation,Great things never come from comfort zones.
sad,Your pain today will be your strength tomorrow.
happy,Enjoy the little things in life.
happy,Keep smiling because life is beautiful.
motivation,Your only limit is your mind.
happy,Happiness depends upon ourselves.
sad,Storms make trees take deeper roots.
happy,Happiness depends upon ourselves.
motivation,Your only limit is your mind.
motivation,Small progress is still progress.
happy,A happy mind makes a happy life.
motivation,Great things never come from comfort zones.
motivation,Push yourself because no one else is going to do it for you.
sad,You are stronger than you think.
sad,You have survived every difficult day so far.
happy,Choose happiness every day.
sad,Storms make trees take deeper roots.
happy,A happy mind makes a happy life.
motivation,Push yourself because no one else is going to do it for you.
motivation,Stay focused and never give up.
sad,Storms make trees take deeper roots.
motivation,Dream big and dare to fail.
happy,Smile and let the world wonder why.
motivation,Stay focused and never give up.
happy,A happy mind makes a happy life.
